Metro Name,Predominant State,Metro population,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,UV Index,Latitude,Longitude
Hobbs,New Mexico,72743,1195,$61078,14%,31,$248068,1774,$138,47,66%,$961,49%,155,2038,17%,7%,60%,22%,70%,0%,4%,32%,61%,17%,N/A,95,56,38,66,27,33%,31%,41,57,95,72%,78%,66%,13,5.99,1.31,13%,18%,10%,6,2,N/A,36,64,5,32.74437858038019,-103.19635884602704
Shawnee,Oklahoma,72331,555,$52336,20%,36,$146372,1352,$106,44,64%,$786,52%,446,4129,17%,5%,54%,23%,70%,0%,3%,68%,6%,2%,N/A,93,51,41,71,29,55%,53%,46,64,101,66%,76%,60%,41,13.48,5.36,22%,23%,16%,7,3,7,49,59,5,35.33176135867475,-96.95371390731138
Mount Airy,North Carolina,71439,767,$40759,22%,43,$278712,1869,$147,52,57%,$640,52%,N/A,N/A,21%,5%,55%,23%,73%,1%,7%,78%,10%,5%,N/A,86,47,39,63,24,51%,54%,46,65,90,64%,68%,58%,52,14.85,11.71,36%,43%,35%,7,1,6,41,63,4,36.43970109852557,-80.65625041922358
Stevens Point,Wisconsin,70378,846,$52921,37%,30,$245555,1682,$144,48,59%,$805,66%,201,956,16%,5%,68%,48%,44%,4%,1%,87%,4%,5%,N/A,81,24,57,59,8,62%,58%,35,57,83,54%,66%,47%,35,12.33,4.49,34%,36%,32%,51,32,8,32,73,3,44.50785796337377,-89.52554892494754
Greenfield Town,Massachusetts,70267,495,$53501,32%,45,$267087,1519,$182,71,63%,$937,56%,371,1333,12%,6%,60%,63%,26%,1%,1%,87%,5%,4%,N/A,83,33,49,60,14,57%,56%,35,56,85,56%,62%,54%,50,14.5,11.97,38%,40%,38%,46,21,7,22,71,3,42.573189156322854,-72.56876094526339
Greeneville,Tennessee,69926,767,$47422,21%,41,$302912,2088,$143,45,63%,$656,57%,284,2950,14%,6%,49%,18%,78%,0%,3%,86%,5%,3%,N/A,86,46,40,65,25,55%,59%,45,63,92,59%,59%,57%,46,13.43,11.79,39%,41%,43%,7,4,6,40,71,4,36.18596329714728,-82.82080459074304
Greenwood,South Carolina,69338,1091,$36843,19%,37,$191021,1717,$110,53,55%,$728,62%,1120,4403,24%,7%,54%,35%,60%,0%,40%,49%,6%,3%,N/A,91,53,37,69,32,50%,53%,48,66,98,63%,65%,57%,46,11.68,13.39,31%,34%,34%,3,0,6,42,56,4,34.226241254204915,-82.24419288258294
Lake City,Florida,69265,966,$41111,19%,37,$186656,1720,$107,37,46%,$842,61%,1326,6432,20%,10%,55%,26%,70%,1%,31%,56%,5%,3%,N/A,90,65,25,71,41,56%,61%,59,71,102,64%,65%,59%,54,22.99,10.04,28%,43%,27%,0,0,6,68,50,5,30.180867406995066,-82.64292460579213
Klamath Falls,Oregon,68899,1687,$45996,20%,36,$278940,1413,$197,51,55%,$830,54%,467,3301,21%,8%,55%,23%,67%,0%,0%,71%,18%,6%,N/A,86,40,46,48,19,47%,28%,40,48,83,N/A%,N/A%,N/A%,14,1.59,5.95,22%,9%,32%,49,21,4,7,66,3,42.207388669229196,-121.74020367435044
Morehead City,North Carolina,67944,872,$60598,33%,48,$518242,1810,$287,34,66%,$1056,42%,266,2784,9%,5%,55%,26%,70%,0%,4%,86%,4%,2%,N/A,86,55,31,72,35,53%,56%,47,66,91,59%,61%,55%,60,18.01,12.42,34%,39%,35%,1,0,6,42,85,4,34.72066893609504,-76.82713796791704
Clearlake,California,67749,1167,$59010,15%,42,$337128,1466,$233,39,62%,$1168,53%,751,3043,17%,11%,51%,46%,43%,1%,2%,65%,25%,9%,N/A,93,58,34,55,37,45%,30%,46,52,91,77%,96%,51%,38,0.37,21.94,19%,1%,37%,0,0,6,4,76,5,38.972244326107436,-122.71752278460147
Owosso,Michigan,67738,1236,$52652,14%,39,$192994,1468,$128,58,72%,$783,51%,457,1042,14%,3%,61%,36%,56%,0%,2%,92%,2%,1%,N/A,83,30,52,60,16,61%,55%,38,58,85,50%,66%,39%,36,10.87,6.44,37%,33%,42%,51,40,8,32,76,3,42.94377377451998,-84.1631555324488
Alamogordo,New Mexico,67298,1106,$48187,23%,37,$193266,1379,$142,39,60%,$788,53%,328,2412,17%,8%,57%,30%,59%,1%,4%,54%,32%,5%,N/A,85,49,36,56,25,27%,26%,35,51,83,82%,84%,78%,11,4.92,1.54,11%,18%,8%,1,0,N/A,35,83,6,32.89900219159398,-105.9621873637026
Roanoke Rapids,North Carolina,67208,1127,$37673,17%,40,$245350,1892,$131,49,50%,$692,60%,904,4672,25%,7%,52%,62%,35%,0%,49%,39%,3%,2%,N/A,89,50,39,69,29,53%,56%,47,66,97,59%,61%,55%,51,15.73,10.71,28%,29%,29%,9,1,6,41,57,4,36.40858001434312,-77.61395154105074
Farmington,Missouri,67168,1404,$44931,13%,37,$173506,1479,$115,47,60%,$692,55%,256,2775,20%,5%,52%,25%,70%,0%,4%,88%,1%,1%,N/A,88,43,45,67,22,58%,55%,44,65,94,57%,67%,49%,47,12.23,8.65,31%,30%,28%,11,6,6,46,64,4,37.828905860777766,-90.49765545093182
Muskogee,Oklahoma,66881,808,$40508,19%,35,$151118,1596,$93,48,57%,$717,55%,949,3258,23%,7%,54%,32%,62%,0%,13%,51%,7%,3%,N/A,93,51,42,71,28,56%,55%,47,67,103,59%,70%,53%,46,12.44,6.78,27%,27%,21%,8,2,7,47,45,4,35.72170602665057,-95.36466232780712
Marion,Indiana,66802,1084,$44582,17%,37,$142037,1563,$88,59,62%,$734,61%,364,2603,23%,9%,56%,27%,66%,1%,8%,81%,4%,1%,N/A,83,34,49,63,18,60%,55%,40,60,85,59%,74%,46%,43,12.75,8.6,35%,33%,38%,25,17,8,36,71,3,40.52402549987632,-85.6406413814133
Faribault-Northfield,Minnesota,66795,1685,$66959,31%,33,$321629,2112,$151,41,72%,$969,55%,146,1281,11%,5%,62%,44%,47%,2%,7%,76%,10%,9%,N/A,82,22,59,62,5,64%,60%,34,58,84,N/A%,N/A%,N/A%,36,14.92,3.63,28%,34%,21%,50,19,8,40,72,3,44.37635052514468,-93.25546998918875
Richmond,Indiana,66588,935,$43493,18%,38,$144362,1534,$87,63,60%,$751,58%,528,1039,20%,5%,58%,32%,62%,1%,6%,83%,4%,2%,N/A,84,36,48,63,19,60%,55%,41,61,87,52%,65%,41%,44,12.17,9.38,36%,36%,37%,25,15,8,38,67,3,39.845054914701834,-84.93720857210903
Marshall,Texas,66386,811,$49535,22%,35,$181911,1482,$119,48,60%,$877,57%,525,N/A,21%,7%,59%,26%,70%,1%,31%,45%,18%,7%,N/A,94,57,37,71,33,58%,56%,54,70,108,58%,69%,50%,50,11.16,12.39,25%,23%,29%,0,0,7,55,45,5,32.52850513448698,-94.36410628895356
Marquette,Michigan,66380,810,$57372,25%,40,$320276,1972,$154,52,72%,$639,51%,142,657,16%,5%,56%,48%,44%,1%,0%,89%,2%,2%,N/A,77,23,54,55,8,63%,59%,35,57,78,55%,67%,48%,35,9.86,6.46,45%,39%,53%,181,87,7,28,87,3,46.50979026316393,-87.52223136588607
North Wilkesboro,North Carolina,66335,496,$44069,18%,45,$217794,1550,$144,48,62%,$650,47%,401,4683,17%,4%,52%,21%,75%,0%,5%,80%,10%,4%,N/A,87,49,38,65,26,52%,55%,45,63,91,64%,68%,58%,52,14.31,12.33,38%,45%,36%,7,0,6,40,71,4,36.180260042613845,-81.1500005733211
Mount Pleasant,Michigan,65623,2992,$57581,21%,40,$138041,1273,$111,44,84%,$748,50%,168,1220,18%,3%,56%,44%,48%,0%,0%,89%,2%,0%,N/A,83,29,53,60,15,62%,55%,35,55,85,46%,63%,30%,37,11.13,6.78,37%,34%,42%,55,32,8,31,82,3,43.61734192481674,-84.83510572948526
Rio Grande City,Texas,65568,3484,$46508,12%,29,$174984,1630,$110,30,76%,$580,50%,116,1682,30%,10%,60%,79%,18%,0%,0%,4%,93%,25%,N/A,99,70,28,75,45,60%,56%,64,73,122,59%,77%,42%,26,8.47,3.21,12%,11%,14%,0,0,N/A,26,80,6,26.373852676111923,-98.80466741874912
Marion,Ohio,65515,3593,$42779,11%,36,$130313,1276,$99,67,56%,$795,60%,53,1078,21%,9%,50%,29%,64%,0%,8%,82%,4%,1%,N/A,84,35,49,63,18,62%,57%,40,60,86,45%,54%,35%,42,13.14,8.22,37%,33%,42%,23,16,7,38,54,5,40.590467869961095,-83.13181920633136
Baraboo,Wisconsin,65428,1041,$58575,22%,39,$278826,1657,$169,38,63%,$826,50%,208,3550,7%,1%,71%,46%,47%,1%,2%,84%,10%,7%,N/A,83,27,55,60,9,60%,57%,37,58,85,52%,64%,45%,40,14.91,5.07,33%,35%,30%,49,26,8,40,79,3,43.457929591951476,-89.8855021429694
Red Bluff,California,65345,1571,$50897,13%,35,$264885,1246,$210,42,52%,$1042,54%,728,4530,20%,7%,56%,28%,64%,2%,1%,58%,32%,10%,N/A,97,56,40,65,37,38%,20%,45,51,94,77%,95%,51%,20,0.48,10.84,16%,2%,31%,26,6,6,4,53,4,40.11019938923447,-122.20898593569142
Marinette,Wisconsin,65197,870,$49797,18%,41,$210646,1511,$133,63,69%,$690,52%,120,1268,13%,3%,60%,31%,64%,0%,1%,93%,3%,1%,N/A,81,25,55,58,9,63%,59%,35,57,83,55%,67%,48%,33,10.94,4.72,31%,34%,28%,48,23,N/A,31,85,3,45.180509228657606,-87.8156140431605
Roswell,New Mexico,65014,1582,$46041,17%,35,$186000,1431,$130,52,64%,$825,55%,831,3696,22%,5%,57%,27%,63%,1%,1%,34%,60%,11%,N/A,94,55,39,62,22,32%,30%,37,55,92,73%,78%,67%,13,5.27,1.23,12%,20%,8%,8,1,N/A,36,66,6,33.361469554285314,-104.52071287932192
Shelton,Washington,64964,1306,$58127,14%,38,$427296,1566,$268,37,65%,$1019,56%,508,5588,16%,5%,55%,41%,47%,1%,1%,71%,17%,10%,N/A,78,44,33,53,33,63%,50%,42,51,78,45%,60%,27%,64,3.11,26.15,45%,18%,63%,7,3,6,5,70,2,47.30306744350907,-123.00795479385268
Dublin,Georgia,64884,915,$35823,17%,34,$214813,1958,$109,42,45%,$675,68%,N/A,N/A,30%,8%,49%,34%,64%,0%,58%,36%,2%,2%,N/A,92,59,33,70,34,52%,54%,53,69,103,63%,67%,56%,48,14.08,14.21,27%,32%,30%,0,0,5,53,49,5,32.5530813938273,-82.90579806112407
Nacogdoches,Texas,64822,1121,$38624,26%,26,$304000,2286,$133,38,43%,$802,64%,330,2570,28%,8%,60%,30%,65%,1%,27%,51%,18%,6%,N/A,93,58,35,73,36,58%,56%,54,70,105,58%,69%,50%,47,10.1,11.68,28%,25%,32%,1,0,7,55,47,5,31.624424003252287,-94.64657459131219
Somerset,Kentucky,64717,813,$31856,16%,39,$123807,1297,$99,46,50%,$706,56%,253,2016,30%,9%,52%,15%,81%,1%,2%,87%,5%,3%,N/A,87,45,42,69,29,58%,62%,44,64,95,57%,66%,44%,56,14.63,14.6,36%,34%,39%,15,10,4,46,65,4,37.08178196106552,-84.61311441927947
Coos Bay,Oregon,64619,1687,$50222,20%,46,$332851,1441,$233,51,63%,$862,53%,362,4382,18%,6%,53%,33%,57%,1%,0%,82%,7%,3%,N/A,68,52,15,53,39,59%,40%,43,50,66,N/A%,N/A%,N/A%,59,2.32,26.45,42%,17%,60%,1,0,6,4,80,3,43.324574536316675,-124.23189761907427
Forest City,North Carolina,64592,742,$40745,22%,42,$215462,1460,$145,52,60%,$716,56%,317,6673,23%,7%,50%,24%,72%,0%,18%,72%,3%,3%,N/A,89,51,37,66,27,55%,59%,46,64,97,59%,59%,57%,51,12.56,13.41,32%,38%,32%,6,1,6,44,61,4,35.350102628164166,-81.91732717745653
Martinsville,Virginia,64553,913,$39836,21%,43,$97561,1271,$70,53,63%,$658,57%,518,2695,18%,6%,54%,45%,51%,1%,30%,58%,7%,4%,N/A,88,48,40,64,24,51%,54%,44,63,92,59%,64%,54%,49,12.07,11.08,33%,36%,32%,12,1,6,38,55,4,36.68927326173197,-79.88439385205622
Ionia,Michigan,64553,822,$50650,11%,34,$156898,1198,$142,66,69%,$722,57%,293,1196,15%,6%,64%,30%,61%,0%,0%,88%,5%,0%,N/A,84,31,52,58,15,62%,56%,38,58,86,47%,64%,33%,39,11.03,7.65,41%,35%,49%,65,44,8,34,80,3,42.953549480907675,-85.07887974291077
Rexburg,Idaho,64349,3019,$45298,35%,25,$331041,2158,$153,24,43%,$839,51%,45,452,29%,7%,67%,8%,59%,1%,0%,84%,10%,5%,N/A,85,28,56,52,13,45%,25%,29,41,82,62%,79%,43%,13,2.49,3.21,25%,19%,31%,83,35,N/A,23,70,3,43.85084392853778,-111.76448847159985
Lewiston,Idaho,64105,1940,$60253,25%,39,$350306,1628,$215,49,76%,$789,49%,127,2900,15%,3%,62%,28%,62%,1%,0%,86%,4%,1%,Pacific Standard Time,91,39,51,60,28,48%,28%,37,46,88,52%,73%,28%,13,2.03,3.7,28%,16%,36%,14,10,5,10,67,3,46.3938027796358,-116.97769151455132
Laconia,New Hampshire,63395,504,$60521,26%,44,$392876,1769,$232,54,60%,$1072,55%,178,2262,10%,3%,62%,38%,55%,0%,0%,93%,2%,2%,N/A,82,31,51,60,12,53%,51%,35,57,83,55%,62%,53%,48,14.23,10.8,36%,38%,37%,69,24,6,17,79,3,43.5195821500311,-71.45853873336193
Georgetown,South Carolina,62992,1259,$54518,30%,50,$414053,2058,$194,32,69%,$1068,48%,1225,6217,17%,6%,55%,42%,54%,1%,31%,63%,3%,3%,N/A,89,58,31,72,36,50%,52%,54,70,95,64%,67%,57%,53,18.11,10.63,31%,38%,32%,0,0,7,54,66,5,33.464708667212726,-79.21468927777725
Athens,Ohio,62933,1582,$34278,58%,24,$307132,1852,$163,49,35%,$872,79%,77,1695,40%,7%,54%,55%,38%,4%,4%,83%,3%,6%,N/A,83,38,45,63,20,57%,55%,44,63,85,45%,54%,35%,43,12.49,10.08,37%,35%,42%,11,3,7,42,58,5,39.343193757633635,-82.11284131156921
Sanford,North Carolina,62676,1024,$51311,21%,35,$320000,1916,$167,36,52%,$825,55%,N/A,N/A,18%,5%,65%,41%,54%,1%,25%,42%,28%,11%,N/A,91,53,38,69,31,53%,56%,47,66,100,59%,61%,55%,47,14.28,9.89,25%,28%,26%,4,2,6,42,57,4,35.4874721,-79.1770604
Enid,Oklahoma,62628,721,$58599,22%,35,$158000,1374,$115,51,61%,$864,50%,402,3127,14%,4%,63%,20%,73%,1%,2%,70%,14%,7%,Central Standard Time,94,48,46,71,25,55%,53%,46,64,105,66%,76%,60%,32,11.38,3.33,21%,24%,16%,7,3,N/A,49,63,5,36.404142386630056,-97.86735303660801
Mount Vernon,Ohio,62399,1152,$59049,28%,39,$234035,1649,$139,54,62%,$839,52%,162,2080,13%,3%,59%,28%,66%,0%,1%,92%,2%,1%,N/A,82,34,47,60,17,62%,57%,39,59,84,45%,54%,35%,44,12.89,9.39,39%,36%,44%,17,12,7,38,76,5,40.39132004073303,-82.46182028982064
Walla Walla,Washington,62168,2240,$60399,27%,37,$385644,1651,$233,49,67%,$1034,51%,292,2852,11%,6%,56%,36%,52%,1%,1%,70%,20%,8%,Pacific Standard Time,90,40,50,60,27,50%,29%,35,42,87,52%,73%,28%,16,1.72,5.18,29%,12%,41%,18,10,7,8,65,3,46.088337281525554,-118.37179839290425
Albemarle,North Carolina,62148,801,$49909,18%,40,$252651,1471,$171,51,63%,$808,52%,904,5466,18%,6%,56%,23%,73%,2%,21%,68%,5%,3%,N/A,89,51,38,69,30,52%,55%,47,66,95,64%,68%,58%,46,14.08,10.78,23%,25%,25%,3,0,6,38,58,4,35.33540500695128,-80.21462867237801
Hutchinson,Kansas,62071,1280,$51233,19%,40,$152065,1693,$90,59,67%,$777,52%,342,2946,12%,4%,62%,27%,63%,0%,2%,81%,10%,2%,N/A,93,45,48,68,19,55%,51%,43,62,102,64%,73%,59%,32,12.13,3.22,22%,28%,14%,12,6,8,53,71,4,38.04089575042608,-97.92497853014008
Hudson,New York,61587,907,$71669,37%,46,$514503,1774,$298,58,64%,$935,52%,0,836,13%,8%,60%,49%,44%,3%,7%,78%,6%,8%,N/A,80,32,47,58,13,57%,55%,37,58,80,50%,58%,45%,49,15.15,12.54,38%,43%,37%,61,31,7,22,77,3,42.255425563966284,-73.70058429495457
Starkville,Mississippi,61277,975,$34164,48%,26,N/A,N/A,N/A,34,47%,$789,66%,N/A,N/A,25%,8%,56%,48%,47%,3%,32%,58%,2%,4%,N/A,92,55,37,71,33,57%,56%,53,69,103,59%,66%,50%,61,13.57,18.5,31%,33%,36%,0,0,6,58,51,5,33.46234379503891,-88.83595223371665
Carlsbad-Artesia,New Mexico,61096,1062,$67864,16%,34,$258012,1718,$150,47,66%,$1052,48%,520,3030,16%,4%,61%,25%,66%,0%,1%,41%,53%,6%,N/A,97,58,39,66,27,32%,30%,37,55,97,73%,78%,67%,12,5.14,1.28,13%,20%,10%,3,0,N/A,36,60,6,32.52810147337184,-104.28819123273854
Gillette,Wyoming,60834,1381,$83709,19%,32,N/A,N/A,N/A,32,75%,$842,40%,134,1958,10%,3%,72%,7%,86%,0%,0%,83%,10%,3%,N/A,87,34,53,56,14,50%,36%,28,45,85,60%,71%,52%,18,5.97,2.11,27%,27%,26%,49,26,7,32,80,3,44.24711595335287,-105.49495091313972
Sturgis,Michigan,60828,785,$52518,12%,36,$184398,1566,$118,64,63%,$708,56%,475,2769,13%,6%,63%,31%,62%,1%,4%,84%,5%,2%,N/A,83,32,51,61,17,61%,56%,40,60,85,58%,73%,45%,41,11.94,8.25,40%,35%,48%,37,22,N/A,41,78,3,41.88441897276959,-85.54193984176449
Rutland,Vermont,60662,1111,$56250,31%,38,$203820,1762,$119,52,71%,$890,57%,121,1084,12%,4%,59%,46%,42%,1%,1%,91%,2%,4%,N/A,81,29,51,58,10,57%,53%,36,57,82,49%,59%,42%,43,13.87,8.89,40%,41%,42%,74,33,8,23,85,2,43.58371031451853,-73.03105874001821
Crossville,Tennessee,60568,482,$51052,21%,51,$351251,1838,$190,26,72%,$822,39%,360,4285,16%,7%,40%,19%,77%,0%,1%,92%,3%,2%,N/A,82,43,38,64,25,56%,57%,48,66,85,56%,64%,44%,60,14.48,16.38,37%,39%,41%,2,0,5,47,70,4,35.95488179098439,-84.98224522464659
Oxford,North Carolina,60486,959,$57942,24%,42,$238293,1445,$157,35,65%,$988,49%,615,1847,16%,6%,59%,47%,49%,0%,42%,44%,8%,5%,N/A,88,49,38,67,27,53%,56%,47,66,95,59%,61%,55%,48,13.81,10.21,30%,32%,31%,5,1,6,42,60,4,36.20401716438863,-78.66936425254826
Sayre,Pennsylvania,60233,1298,$51729,24%,38,$183452,1403,$142,56,57%,$803,58%,287,3087,11%,6%,64%,24%,69%,0%,1%,92%,1%,4%,N/A,83,34,48,59,16,60%,58%,37,57,85,47%,61%,36%,39,12.34,7.53,40%,40%,41%,45,27,6,29,76,3,41.82577932509669,-76.53584300700612
Salina,Kansas,60156,1523,$53683,26%,39,$163507,1272,$129,55,66%,$795,50%,445,3612,12%,3%,66%,27%,64%,1%,2%,79%,11%,4%,N/A,93,42,50,69,19,57%,54%,41,62,102,68%,79%,61%,31,11.85,3.25,23%,28%,15%,14,3,8,56,65,4,38.84081377562309,-97.61819538008481
Marietta,Ohio,59942,969,$58126,17%,41,$179282,1574,$116,49,74%,$699,46%,101,1508,13%,7%,60%,26%,68%,1%,1%,94%,1%,1%,N/A,86,39,46,65,22,56%,56%,43,62,90,44%,53%,34%,46,13.56,10.93,41%,39%,46%,18,11,4,43,62,4,39.40703184923482,-81.48803785183182
Fergus Falls,Minnesota,59728,604,$47435,24%,43,$201532,1533,$151,48,72%,$715,53%,261,3076,12%,5%,63%,28%,64%,0%,2%,89%,4%,3%,N/A,80,19,61,59,0,62%,55%,31,56,81,56%,70%,48%,27,11.77,2.45,25%,31%,19%,44,29,N/A,31,86,2,46.39182731457486,-95.83194977755925
Barre,Vermont,59609,1232,$62047,44%,35,$305428,1644,$191,66,56%,$1024,62%,145,1253,11%,2%,63%,59%,25%,1%,1%,89%,3%,3%,N/A,79,28,51,57,9,58%,54%,35,57,80,49%,60%,42%,44,14.39,8.7,46%,47%,49%,118,69,8,23,81,2,44.21911800388835,-72.58753943952021
Fremont,Ohio,59013,1106,$55842,18%,42,$161178,1562,$104,61,70%,$726,51%,58,3158,11%,5%,61%,35%,57%,0%,3%,82%,10%,0%,N/A,85,34,51,63,19,63%,58%,39,59,89,50%,66%,36%,40,11.68,8.17,37%,34%,38%,32,25,7,32,69,3,41.34657427969722,-83.13283169071813
Oneonta,New York,58952,1212,$58632,39%,46,$230965,1812,$140,69,70%,$868,52%,244,1042,12%,4%,59%,40%,51%,1%,1%,89%,3%,5%,N/A,77,28,48,57,13,60%,57%,37,57,78,47%,59%,38%,48,15.05,9.99,44%,41%,51%,79,45,8,26,85,3,42.578271016197355,-75.02744334337697
Columbus,Mississippi,58904,7463,$37748,24%,39,N/A,N/A,N/A,44,51%,$795,62%,N/A,N/A,24%,10%,53%,46%,51%,0%,58%,38%,1%,1%,N/A,93,55,37,72,34,56%,56%,52,68,107,58%,63%,49%,56,11.54,17.98,25%,25%,30%,0,0,6,58,51,5,33.50714382058757,-88.40643145115116
Norwalk,Ohio,58583,1275,$49980,12%,36,$138768,1295,$107,62,68%,$737,51%,95,1727,17%,7%,60%,28%,64%,0%,1%,88%,7%,1%,N/A,83,34,49,63,19,63%,58%,39,59,86,47%,64%,31%,42,12.1,8.23,38%,35%,44%,33,25,7,34,78,3,41.15592456864513,-82.59468686597411
Batavia,New York,58387,1438,$65958,29%,42,$154937,1408,$113,71,77%,$757,50%,N/A,N/A,12%,3%,66%,28%,64%,1%,1%,90%,3%,1%,N/A,80,31,48,61,16,61%,55%,38,57,81,47%,64%,32%,40,11.98,8.31,42%,37%,49%,59,32,8,28,82,3,42.997710642811406,-78.21192256642192
Ardmore,Oklahoma,58207,396,$49749,19%,37,$164594,1499,$108,47,62%,$817,52%,610,3202,17%,4%,59%,21%,74%,1%,7%,65%,9%,4%,N/A,94,53,40,72,31,50%,46%,47,64,100,66%,76%,60%,39,9.9,6.09,18%,17%,16%,5,2,N/A,48,53,5,34.19856200701924,-97.1758758923366
Palestine,Texas,58133,925,$43000,14%,36,$259298,1779,$145,43,62%,$870,54%,521,2471,17%,3%,59%,19%,77%,0%,27%,50%,18%,6%,N/A,95,58,37,73,35,55%,50%,53,68,103,61%,71%,56%,46,9.57,10.56,26%,20%,30%,0,0,7,43,55,5,31.76578901601537,-95.63322900475588
Fort Madison-Keokuk,Iowa,58123,1037,$48039,17%,41,$105206,1440,$72,71,72%,$764,52%,663,1972,16%,6%,58%,38%,54%,0%,3%,88%,4%,1%,N/A,86,34,52,66,17,59%,57%,39,62,90,53%,63%,46%,39,13.32,5.61,30%,30%,27%,18,9,N/A,46,73,3,40.53776634475757,-91.38880933783649
Charleston-Mattoon,Illinois,58070,1525,$44188,23%,35,$91599,1268,$71,53,55%,$700,61%,295,723,23%,7%,63%,31%,60%,1%,4%,89%,2%,1%,N/A,86,37,49,66,20,59%,56%,42,63,91,56%,68%,45%,44,13.04,8.34,30%,30%,27%,13,9,6,44,75,4,39.46520121119363,-88.25916374390677
Fernley,Nevada,58029,242,$70406,16%,42,$396330,1762,$224,22,73%,$1148,45%,188,156,8%,6%,59%,25%,67%,1%,1%,72%,18%,6%,N/A,92,44,48,63,23,31%,19%,29,38,88,81%,92%,65%,8,0.99,4.11,13%,6%,20%,20,11,6,15,85,5,39.381910328031985,-119.31750659941656
Eagle Pass,Texas,57769,2294,$45018,15%,29,N/A,N/A,N/A,30,68%,$736,45%,123,2301,26%,7%,56%,76%,20%,0%,0%,2%,95%,29%,N/A,100,66,33,73,36,53%,51%,55,69,119,57%,69%,51%,20,4.67,2.64,13%,12%,13%,0,0,8,34,66,6,28.701517737454413,-100.47563879042242
Calhoun,Georgia,57274,979,$41396,15%,33,$291397,2144,$135,34,45%,$754,56%,298,2161,22%,2%,57%,16%,79%,1%,6%,59%,28%,13%,N/A,90,52,37,68,31,55%,56%,48,66,98,55%,60%,46%,51,10.36,15.94,33%,35%,39%,3,0,5,54,47,4,34.49324927952721,-84.92598848087026
Cullowhee,North Carolina,57149,1034,$40109,44%,32,$336335,1425,$253,31,39%,$730,75%,352,5923,34%,9%,54%,40%,53%,0%,5%,69%,6%,4%,N/A,84,47,37,62,25,55%,59%,46,64,88,59%,59%,57%,60,15.28,16.66,38%,45%,39%,8,2,6,44,81,4,35.31875437386688,-83.20523181285634
Kearney,Nebraska,56479,1813,$62370,33%,33,$249242,1895,$136,43,67%,$841,51%,159,1860,14%,2%,71%,21%,70%,1%,0%,84%,10%,5%,N/A,87,36,50,64,15,56%,54%,37,59,91,67%,78%,60%,28,11.48,2.13,22%,29%,13%,21,10,N/A,47,79,3,40.67548825817829,-99.05211742552068
Fairmont,West Virginia,56256,1805,$51434,28%,36,N/A,N/A,N/A,64,67%,$762,53%,N/A,N/A,16%,6%,59%,29%,62%,0%,4%,88%,1%,1%,N/A,83,39,43,63,23,58%,59%,40,59,86,42%,52%,29%,48,14.93,10.69,45%,46%,49%,23,16,4,34,70,3,39.48032643440377,-80.17276186076768
Ontario,Oregon,56241,2049,$42421,14%,31,$265119,1864,$151,48,54%,$696,58%,742,6093,20%,7%,57%,21%,68%,1%,0%,49%,47%,11%,N/A,95,37,58,62,22,42%,23%,33,42,92,63%,81%,38%,9,1.14,3.51,21%,10%,30%,19,14,7,14,62,4,43.982594153189076,-117.0214687104062
Gaffney,South Carolina,56204,1359,$32610,15%,36,$146373,1425,$103,49,56%,$746,62%,749,5496,24%,11%,53%,28%,69%,0%,36%,53%,4%,2%,N/A,88,51,37,66,27,52%,55%,47,66,93,63%,67%,57%,47,12.15,12.06,32%,38%,32%,3,0,6,41,56,4,35.084684677480716,-81.64010523317573
Picayune,Mississippi,55972,658,$38078,15%,39,$154091,1197,$128,39,59%,$792,57%,N/A,N/A,22%,8%,53%,16%,81%,0%,30%,63%,1%,0%,N/A,91,62,29,73,40,62%,64%,59,73,107,58%,62%,51%,64,20.25,16.41,32%,43%,33%,0,0,8,67,58,5,30.577608290446342,-89.65033430732737
Sterling,Illinois,55932,876,$60259,20%,44,$127390,1730,$79,59,78%,$773,47%,167,1088,9%,4%,58%,43%,49%,0%,0%,95%,2%,1%,N/A,83,30,53,63,13,59%,57%,39,62,85,53%,63%,46%,40,14.34,5.67,31%,32%,28%,31,15,8,46,80,3,41.77599775906799,-89.90618445985166
Branson,Missouri,55854,755,$44516,19%,43,$239128,1323,$180,29,57%,$786,47%,406,5949,18%,5%,56%,18%,77%,1%,2%,84%,8%,3%,N/A,89,45,44,68,24,58%,57%,44,64,98,58%,69%,50%,49,12.31,8.15,28%,29%,24%,7,0,7,54,59,4,36.66832621030511,-93.270099578771
