	Month of Period End
Jim Falls, WI	
Jim Thorpe, PA	$182K
Joanna, SC	$98K
Jobstown, NJ	
Joffre, PA	$155K
Johannesburg, CA	
John Sam Lake, WA	
John Sevier, TN	$84K
Johns Creek, GA	$736K
Johnsburg, IL	$275K
Johnsburg, NY	
Johnson City, NY	$115K
Johnson City, TN	$252K
Johnson Creek, WI	$398K
Johnson Lane, NV	$912K
Johnson Park, CA	
Johnson Prairie, OK	
Johnson Siding, SD	
Johnson, AR	$314K
Johnson, OK	
Johnsonburg, NJ	
Johnsonburg, PA	
Johnsonville, SC	$240K
Johnston City, IL	$53K
Johnston, IA	$378K
Johnston, RI	$428K
Johnston, SC	$65K
Johnstonville, CA	
Johnstown, CO	$496K
Johnstown, NY	$197K
Johnstown, OH	$311K
Johnstown, PA	$50K
Joice, IA	
Joiner, AR	$70K
Joliet, IL	$259K
Joliet, MT	$283K
Jolivue, VA	
Jolly, TX	
Jollyville, TX	$522K
Jones Creek, TX	$236K
Jones Mills, AR	
Jones Valley, CA	$460K
Jones, OK	$335K
Jonesboro, AR	$225K
Jonesboro, GA	$245K
Jonesboro, IN	$32K
Jonesborough, TN	$336K
Jonestown, MS	
Jonestown, PA	$201K
Jonestown, TX	$486K
Jonesville, IN	
Jonesville, MI	$118K
Jonesville, NC	$300K
Jonesville, SC	$236K
Joplin, MO	$170K
Joppa, AL	$174K
Joppa, IL	
Joppatowne, MD	$280K
Jordan Valley, OR	
Jordan, MN	$389K
Jordan, NY	$137K
Joseph City, AZ	
Josephine, TX	$333K
Josephville, MO	
Joshua Tree, CA	$385K
Joshua, TX	$378K
Joslin, IL	
Jourdanton, TX	$268K
Jovista, CA	
Joy, IL	
Juda, WI	$251K
Judson, SC	$297K
Judsonia, AR	$212K
Jugtown, MD	
Juliaetta, ID	
Julian, CA	$485K
Julian, PA	
Juliette, GA	
Juliustown, NJ	
Junction City, AR	
Junction City, IL	
Junction City, KS	$185K
Junction City, KY	$165K
Junction City, LA	
Junction City, OH	
Junction City, OR	$448K
Junction City, WI	
June Park, FL	$369K
Juneau, WI	$163K
Juniata Gap, PA	
Juniata Terrace, PA	
Juniata, NE	
Juniper Canyon, OR	$725K
Juniper Hills, CA	
Junius, NY	
Juno Beach, FL	$775K
Juno Ridge, FL	$500K
Jupiter Farms, FL	$795K
Jupiter Inlet Colony, FL	
Jupiter Island, FL	$11,900K
Jupiter, FL	$715K
Jurupa Valley, CA	$575K
Justice, IL	$320K
Justice, OK	$350K
Justin, TX	$416K
K-Bar Ranch, TX	
K. I. Sawyer, MI	$72K
Kaaawa, HI	$1,100K
Kaanapali, HI	$1,785K
Kachina Village, AZ	$625K
Kahaluu-Keauhou, HI	$656K
Kahaluu, HI	$984K
Kahlotus, WA	
Kahoka, MO	
Kahuku, HI	$1,100K
Kahului, HI	$946K
Kaibab Estates West, AZ	
Kailua-Kona, HI	$630K
Kailua, HI	$1,438K
Kaiminani, HI	$1,363K
Kalaheo, HI	
Kalama, WA	$520K
Kalamazoo, MI	$189K
Kalaoa, HI	$1,363K
Kalapana, HI	
Kalihiwai, HI	
Kalispell, MT	$484K
Kalkaska, MI	
Kaloko, HI	$1,588K
Kalona, IA	$232K
Kamaili, HI	
Kamas, UT	$620K
Kampsville, IL	
Kanarraville, UT	
Kandiyohi, MN	
Kane, PA	$131K
Kaneohe Base, HI	
Kaneohe, HI	$852K
Kaneville, IL	
Kangley, IL	
Kankakee, IL	$122K
Kannapolis, NC	$295K
Kansas City, KS	$210K
Kansas City, MO	$250K
Kansas, AL	
Kansas, OH	
Kapaa, HI	$868K
Kapaau, HI	
Kapalua, HI	$1,475K
Kaplan, LA	$220K
Kapolei, HI	$768K
Kapowsin, WA	
Kapp Heights, PA	$70K
Kappa, IL	
Karns City, PA	
Karns, TN	$379K
Kaser, NY	
Kasota, MN	$157K
Kasson, MN	$339K
Katherine, AZ	
Kathleen, FL	$305K
Katonah, NY	$925K
Katy, TX	$366K
Kaufman, TX	$325K
Kaukauna, WI	$265K
Kaunakakai, HI	$317K
Kaw City, OK	$109K
Kawela Bay, HI	$900K
Kayak Point, WA	$1,093K
Kaysville, UT	$610K
Keaau, HI	$450K
Keachi, LA	
Kealakekua, HI	
Kean University, NJ	
Keansburg, NJ	$320K
Kearney Park, MS	
Kearney, MO	$388K
Kearney, NE	$245K
Kearns, UT	$415K
Kearny, AZ	$147K
Kearny, NJ	$480K
Keasbey, NJ	$190K
Keats, KS	
Kechi, KS	$211K
Keedysville, MD	$460K
Keefton, OK	
Keego Harbor, MI	$750K
Keeler Farm, NM	
Keene, CA	$850K
Keene, KY	
Keene, NH	$290K
Keene, TX	$269K
Keenesburg, CO	$409K
Keeseville, NY	$153K
Keewatin, MN	$101K
Keezletown, VA	
Keiser, AR	
Keithsburg, IL	$128K
Keizer, OR	$458K
Kekaha, HI	$750K
Kekoskee, WI	
Kelayres, PA	$120K
Kell, IL	
Keller, TX	$648K
Kelley, IA	$93K
Kelleys Island, OH	
Kelliher, MN	
Kellnersville, WI	
Kellogg Point, CT	
Kellogg, IA	$222K
Kellogg, MN	$232K
Kelly Ridge, CA	
Kellyton, AL	
Kellyville, OK	$180K
Kelseyville, CA	$370K
Kelso, MO	
Kelso, WA	$315K
Kemah, TX	$354K
Kemp Mill, MD	$564K
Kemp, OK	$432K
Kemp, TX	$228K
Kempner, TX	$442K
Kemps Mill, MD	
Kempton, PA	
Ken Caryl, CO	$505K
Kendale Lakes, FL	$441K
Kendall Park, NJ	$571K
Kendall West, FL	$310K
Kendall, FL	$432K
Kendall, NY	
Kendall, WA	$382K
Kendallville, IN	$150K
Kendleton, TX	
Kendrick, ID	
Kendrick, OK	
Kenefic, OK	
Kenefick, TX	$335K
Kenesaw, NE	
Kenhorst, PA	$195K
Kenilworth, IL	$1,500K
Kenilworth, NJ	$568K
Kenilworth, PA	$488K
Kenilworth, UT	
Kenly, NC	$248K
Kenmar, PA	$178K
Kenmore, NY	$235K
Kenmore, WA	$890K
Kennard, IN	
Kennard, NE	
Kennebunk, ME	$450K
Kennebunkport, ME	$1,100K
Kennedale, TX	$396K
Kennedy Meadows, CA	
Kennedy, CA	$390K
Kennedy, NY	
Kenner, LA	$240K
Kennerdell, PA	
Kennesaw, GA	$395K
Kenneth City, FL	$306K
Kennett Square, PA	$750K
Kennett, MO	$143K
Kennewick, WA	$400K
Keno, OR	$280K
Kenosha, WI	$234K
Kensett, AR	
Kensett, IA	
Kensington Park, FL	$439K
Kensington, CA	$1,375K
Kensington, CT	$400K
Kensington, MD	$775K
Kensington, MN	$133K
Kensington, NY	$1,425K
Kent Acres, DE	$381K
Kent City, MI	$290K
Kent Estates, IA	$305K
Kent Narrows, MD	$525K
Kent, IN	
Kent, NY	$360K
Kent, OH	$178K
Kent, WA	$610K
Kentfield, CA	$2,192K
Kentland, IN	$50K
Kenton Vale, KY	
Kenton, DE	
Kenton, TN	$140K
Kentwood, LA	$169K
Kentwood, MI	$305K
Kenvil, NJ	$305K
Kenwood Estates, FL	$445K
Kenwood, CA	$1,700K
Kenwood, OH	$349K
Kenyon, MN	$215K
Keo, AR	
Keokea, HI	
Keokuk, IA	$97K
Keomah Village, IA	
Keowee Key, SC	$473K
Kerby, OR	
Kerens, TX	$155K
Kerhonkson, NY	$326K
Kerman, CA	$447K
Kernersville, NC	$314K
Kernville, CA	$375K
Kerrtown, PA	
Kerrville, TX	$420K
Kersey, CO	$455K
Kersey, PA	
Kershaw, SC	$213K
Keshena, WI	$450K
Keswick, CA	$395K
Keswick, VA	$632K
Ketchum, ID	$915K
Ketchuptown, SC	
Ketron Island, WA	
Kettering, MD	$420K
Kettering, OH	$222K
Kettle Falls, WA	$179K
Kettleman City, CA	
Kettlersville, OH	
Keuka Park, NY	
Kevil, KY	$119K
Kewanee, IL	$105K
Kewaskum, WI	$241K
Kewaunee, WI	$204K
Key Biscayne, FL	$2,350K
Key Center, WA	$680K
Key Colony Beach, FL	$1,043K
Key Largo, FL	$720K
Key Vista, FL	$439K
Key West, FL	$1,425K
Keyes, CA	$490K
Keyesport, IL	
Keyport, NJ	$380K
Keyport, WA	
Keys, OK	$255K
Keyser, WV	$169K
Keystone Heights, FL	$225K
Keystone, CO	$1,140K
Keystone, FL	$725K
Keystone, IA	$158K
Keystone, SD	
Keysville, GA	$809K
Kiantone, NY	
Kiawah Island, SC	$1,243K
Kibler, AR	
Kidder, MO	
Kidron, OH	$196K
Kiefer, OK	$195K
Kiel, WI	$193K
Kieler, WI	
Kihei, HI	$1,030K
Kila, MT	$575K
Kilauea, HI	$5,500K
Kilbourne, OH	
Kildeer, IL	$870K
Kilgore, TX	$246K
Kilkenny, MN	
Kill Devil Hills, NC	$500K
Killeen, TX	$235K
Killen, AL	$152K
Killian, LA	$136K
Killington Village, VT	$268K
Killona, LA	
Kiln, MS	$300K
Kimball, MN	$155K
Kimberly, AL	$385K
Kimberly, ID	$424K
Kimberly, WI	$210K
Kimberton, PA	
Kimbolton, OH	$154K
Kimmell, IN	
Kimmswick, MO	
Kincaid, IL	$97K
Kincora, VA	$534K
Kinderhook, NY	$499K
King & Queen Court House, VA	
King Arthur Park, MT	$643K
King City, CA	$501K
King City, OR	$401K
King Lake, NE	
King of Prussia, PA	$440K
King William, VA	
King, NC	$237K
Kingdom City, MO	
Kingman, AZ	$270K
Kings Beach, CA	$830K
Kings Grant, NC	$347K
Kings Mills, OH	$625K
Kings Mountain, NC	$205K
Kings Park West, VA	$755K
Kings Park, NY	$601K
Kings Park, VA	$701K
Kings Point, NY	
Kings Valley, OR	
Kings, IL	
Kingsburg, CA	$440K
Kingsbury, IN	
Kingsbury, NV	$1,300K
Kingsbury, NY	$195K
Kingsbury, TX	
Kingsford Heights, IN	$139K
Kingsford, MI	$123K
Kingsgate, WA	$657K
Kingsland, AR	
Kingsland, GA	$297K
Kingsley, KY	$412K
Kingsley, MI	
Kingsport, TN	$276K
Kingston Estates, NJ	$370K
Kingston Mines, IL	
Kingston Springs, TN	$440K
Kingston, AR	
Kingston, GA	$285K
Kingston, IA	$35K
Kingston, IL	$357K
Kingston, MA	$613K
Kingston, MO	
Kingston, NJ	$470K
Kingston, NY	$287K
Kingston, OH	
Kingston, PA	$200K
Kingston, RI	
Kingston, TN	$350K
Kingston, WA	$500K
Kingstown, MD	$230K
Kingstown, NC	$215K
Kingstowne, VA	$640K
Kingsville, MD	$850K
Kingsville, MO	
Kingsville, OH	$31K
Kingsville, TX	$168K
Kingvale, CA	
Kinmundy, IL	
Kinnelon, NJ	$575K
Kino Springs, AZ	
Kinsey, AL	$150K
Kinsman Center, OH	$237K
Kinsman, IL	$365K
Kinston, AL	$29K
Kinston, NC	$133K
Kiowa, CO	$843K
Kiowa, OK	
Kipp, KS	
Kipton, OH	
Kirby, TX	$205K
Kirbyville, MO	
Kirkersville, OH	
Kirkland, IL	$133K
Kirkland, NY	
Kirkland, WA	$1,195K
Kirklin, IN	$175K
Kirkpatrick, OR	
Kirksville, MO	$128K
Kirkville, IA	
Kirkwood, MO	$420K
Kirkwood, NY	$160K
Kirkwood, PA	
Kirtland Hills, OH	
Kirtland, OH	$339K
Kiryas Joel, NY	$975K
Kiskimere, PA	
Kismet, KS	
Kissee Mills, MO	$360K
Kissimmee, FL	$349K
Kistler, PA	
Kite, GA	
Kitsap Lake, WA	$450K
Kittanning, PA	$135K
Kittery Point, ME	$1,000K
Kittery, ME	$873K
Kittitas, WA	$225K
Kittredge, CO	
Kittrell, NC	
Kitty Hawk, NC	$442K
Klahanie, WA	$1,025K
Klahr, PA	
Klamath Falls, OR	$285K
Klamath, CA	
Kleindale, AZ	
Klingerstown, PA	
Klondike Corner, NH	
Klondike, MD	
Knapp, WI	
Knappa, OR	
Knightdale, NC	$418K
Knights Ferry, CA	
Knights Landing, CA	$320K
Knightsen, CA	
Knightstown, IN	$185K
Knightsville, IN	
Knik River, AK	$201K
Knik-Fairview, AK	$360K
Knippa, TX	
Knob Lick, MO	
Knob Noster, MO	$245K
Knollcrest, CT	$419K
Knollwood, IL	$377K
Knollwood, TX	
Knottsville, KY	
Knowlton, WI	
Knox, NY	$160K
Knoxville, GA	
Knoxville, IA	$180K
Knoxville, IL	$158K
Knoxville, TN	$296K
Ko Olina, HI	$839K
Kohler, WI	$530K
Kohls Ranch, AZ	
Kokomo, IN	$135K
Koloa, HI	
Konterra, MD	$478K
Kootenai, ID	$490K
Koppel, PA	
Kountze, TX	$220K
Kouts, IN	$257K
Kraemer, LA	$105K
Krakow, WI	
Kramer, IN	
Kramer, NE	
Kratzerville, PA	
Kreamer, PA	$235K
Krebs, OK	$173K
Kronenwetter, WI	$355K
Krotz Springs, LA	
Krugerville, TX	$496K
Krum, TX	$328K
Krupp (Marlin), WA	
Kualapuu, HI	
Kukuihaele, HI	
Kula, HI	$813K
Kulpmont, PA	$68K
Kulpsville, PA	$352K
Kuna, ID	$424K
Kure Beach, NC	$840K
Kurten, TX	
Kurtistown, HI	$389K
Kutztown, PA	$260K
Kyle, TX	$343K
Kylertown, PA	
Kysorville, NY	
La Belle, MO	
La Blanca, TX	
La Cañada Flintridge, CA	$2,308K
La Center, KY	
La Center, WA	$700K
La Cienega, NM	
La Coma Heights, TX	
La Conner, WA	$466K
La Crescent, MN	$288K
La Crescenta-Montrose, CA	$1,325K
La Cresta, CA	$254K
La Croft, OH	
La Crosse, FL	$245K
La Crosse, IN	
La Crosse, WI	$230K
La Cueva, NM	
La Cygne, KS	$305K
La Escondida, TX	
La Fargeville, NY	
La Fayette, AL	$190K
La Fayette, IL	
La Fayette, NY	$327K
La Feria North, TX	$270K
La Feria, TX	
La Follette, TN	$265K
La Fontaine, IN	$78K
La France, SC	
La Grande, OR	$250K
La Grande, WA	
La Grange Park, IL	$445K
La Grange, CA	
La Grange, IL	$660K
La Grange, KY	$372K
La Grange, MO	
La Grange, NC	$192K
La Grange, NY	$445K
La Grange, TN	
La Grulla, TX	
La Habra Heights, CA	$1,275K
La Habra, CA	$790K
La Harpe, IL	
La Homa, TX	$143K
La Honda, CA	
La Huerta, NM	
La Jolla Amago, CA	$2,000K
La Joya, TX	$193K
La Luz, NM	
La Madera, NM	
La Marque, TX	$239K
La Mesa, CA	$711K
La Mesa, NM	
La Mesilla, NM	
La Mirada, CA	$735K
La Moille, IL	
La Monte, MO	
La Palma, CA	$998K
La Paloma Ranchettes, TX	
La Paloma, TX	
La Paz, IN	
La Pine, OR	$391K
La Plata, MD	$398K
La Platte, NE	
La Porte City, IA	$95K
La Porte, IN	$155K
La Porte, TX	$258K
La Prairie, IL	
La Prairie, MN	
La Presa, CA	$700K
La Presa, TX	
La Puebla, NM	
La Puente, CA	$630K
La Puerta, TX	
La Quinta, CA	$783K
La Riviera, CA	$477K
La Rose, IL	
La Rosita, TX	
La Rue, OH	$144K
La Russell, MO	
La Salle, CO	$335K
La Selva Beach, CA	$1,459K
La Tierra, NM	
La Tina Ranch, TX	
La Tour, MO	
La Union, NM	
La Vale, MD	$267K
La Valle, WI	$350K
La Vergne, TN	$355K
La Verkin, UT	$485K
La Verne, CA	$900K
La Vernia, TX	$448K
La Villa, TX	
La Villita, NM	
La Vina, CA	
La Vista, NE	$294K
Labadieville, LA	$190K
LaBarque Creek, MO	
LaBelle, FL	$283K
Labette, KS	
Labish Village, OR	
Lac la Belle, WI	
Lacassine, LA	$244K
Lacey, WA	$473K
Laceyville, PA	
Lackawanna, NY	$145K
Laclede, ID	
Lacomb, OR	
Lacombe, LA	$249K
Lacon, IL	$103K
Lacona, IA	
Lacona, NY	$175K
Laconia, IN	$52K
Laconia, NH	$403K
Lacoochee, FL	
LaCoste, TX	
LaCrosse, WA	$100K
Lacy-Lakeview, TX	
Ladd, IL	
Laddonia, MO	
Ladera Heights, CA	$1,150K
Ladera Ranch, CA	$880K
Ladera, CA	$3,800K
Ladoga, IN	$290K
Ladonia, TX	$260K
Ladson, SC	$292K
Ladue, MO	$830K
Lady Lake, FL	$234K
Lafayette, CA	$2,450K
Lafayette, CO	$675K
Lafayette, IN	$197K
LaFayette, KY	
Lafayette, LA	$222K
Lafayette, OH	$163K
Lafayette, OR	$472K
Lafayette, TN	$255K
Lafayette, VA	
Lafe, AR	
Lafferty, OH	
Lafitte, LA	$110K
Laflin, PA	$174K
Lafourche Crossing, LA	
Lago Vista, TX	$422K
LaGrange, GA	$220K
LaGrange, OH	$245K
Lagro, IN	
Laguna Beach, CA	$2,743K
Laguna Beach, FL	$662K
Laguna Heights, TX	
Laguna Hills, CA	$1,190K
Laguna Niguel, CA	$1,260K
Laguna Vista, TX	$449K
Laguna West-Lakeside, CA	$680K
Laguna Woods, CA	$399K
Laguna, CA	$530K
Laguna, NM	
Lagunitas-Forest Knolls, CA	
Lahaina, HI	$900K
Lahoma, OK	
Laie, HI	
Laingsburg, MI	$230K
Lake Alfred, FL	$348K
Lake Aluma, OK	
Lake Angelus, MI	
Lake Annette, MO	
Lake Arbor, MD	$372K
Lake Arrowhead, CA	$615K
Lake Arrowhead, ME	$433K
Lake Arrowhead, MO	$70K
Lake Arthur Estates, PA	
Lake Arthur, LA	$154K
Lake Arthur, NM	
Lake Barcroft, VA	$840K
Lake Barrington, IL	$449K
Lake Belvedere Estates, FL	$425K
Lake Bluff, IL	$779K
Lake Bosworth, WA	$765K
Lake Bridgeport, TX	
Lake Brownwood, TX	$142K
Lake Bryan, TX	
Lake Buena Vista, FL	
Lake Bungee, CT	$315K
Lake Butler, FL	$1,130K
Lake California, CA	$355K
Lake Camelot, IL	$215K
Lake Carmel, NY	$361K
Lake Cassidy, WA	$733K
Lake Catherine, IL	$224K
Lake Cavanaugh, WA	
Lake Chaffee, CT	
Lake Charles, LA	$217K
Lake Cherokee, TX	
Lake City, AR	$182K
Lake City, FL	$204K
Lake City, GA	
Lake City, MI	$147K
Lake City, MN	$335K
Lake City, PA	$234K
Lake City, SC	$162K
Lake City, TN	$247K
Lake Clarke Shores, FL	$618K
Lake Como, NJ	$1,320K
Lake Dalecarlia, IN	$220K
Lake Dallas, TX	$396K
Lake Darby, OH	$280K
Lake Delta, NY	$207K
Lake Delton, WI	$223K
Lake Dunlap, TX	$262K
Lake Elmo, MN	$700K
Lake Elsinore, CA	$553K
Lake Erie Beach, NY	$225K
Lake Fenton, MI	$483K
Lake Forest Park, WA	$905K
Lake Forest, CA	$925K
Lake Forest, IL	$902K
Lake Geneva, WI	$250K
Lake George, NY	$798K
Lake Goodwin, WA	$710K
Lake Grove, NY	$665K
Lake Hallie, WI	$375K
Lake Hamilton, AR	$411K
Lake Hamilton, FL	
Lake Harbor, FL	
Lake Hart, FL	$897K
Lake Havasu City, AZ	$450K
Lake Helen, FL	$415K
Lake Henry, MN	$167K
Lake Heritage, PA	$248K
Lake Hiawatha, NJ	$378K
Lake Holiday, IL	$249K
Lake Holiday, IN	$230K
Lake Holiday, VA	$360K
Lake Holm, WA	$924K
Lake Hopatcong, NJ	$440K
Lake Hughes, CA	$823K
Lake in the Hills, IL	$270K
Lake Isabella, CA	$147K
Lake Isabella, MI	$110K
Lake Ivanhoe, WI	$314K
Lake Jackson, TX	$290K
Lake Junaluska, NC	$455K
Lake Ka-Ho, IL	
Lake Kathryn, FL	$111K
Lake Katrine, NY	$271K
Lake Kerr, FL	$175K
Lake Ketchum, WA	$675K
Lake Kiowa, TX	$635K
Lake Koshkonong, WI	
Lake Lafayette, MO	$47K
Lake Latonka, PA	
Lake LeAnn, MI	$184K
Lake Lillian, MN	
Lake Linden, MI	
Lake Lindsey, FL	
Lake Lorelei, OH	$395K
Lake Lorraine, FL	$463K
Lake Lorraine, WI	
Lake Los Angeles, CA	$370K
Lake Lotawana, MO	$733K
Lake Louise, AK	
Lake Lure, NC	$435K
Lake Luzerne, NY	$245K
Lake Mack-Forest Hills, FL	$180K
Lake Magdalene, FL	$360K
Lake Marcel-Stillwater, WA	$938K
Lake Mary Jane, FL	$720K
Lake Mary, FL	$430K
Lake Mathews, CA	$979K
Lake McMurray, WA	
Lake Meade, PA	$205K
Lake Medina Shores, TX	$93K
Lake Meredith Estates, TX	
Lake Michigan Beach, MI	$225K
Lake Mills, WI	$360K
Lake Milton, OH	$114K
Lake Mohawk, NJ	$420K
Lake Mohawk, OH	$522K
Lake Mohegan, NY	$365K
Lake Montezuma, AZ	$380K
Lake Monticello, VA	$353K
Lake Morton-Berrydale, WA	$615K
Lake Mykee Town, MO	$155K
Lake Nacimiento, CA	$520K
Lake Norden, SD	
Lake Norman of Catawba, NC	$396K
Lake Norman of Iredell, NC	$1,456K
Lake Odessa, MI	$123K
Lake of the Pines, CA	$742K
Lake of the Woods, AZ	$526K
Lake of the Woods, CA	$310K
Lake of the Woods, IL	
Lake Orion, MI	$245K
Lake Oswego, OR	$1,142K
Lake Panasoffkee, FL	$160K
Lake Panorama, IA	$1,053K
Lake Park, FL	$395K
Lake Park, GA	$250K
Lake Park, IA	
Lake Park, NC	$300K
Lake Petersburg, IL	$130K
Lake Placid, FL	$520K
Lake Pocotopaug, CT	$597K
Lake Poinsett, SD	
Lake Quivira, KS	$900K
Lake Ridge, VA	$447K
Lake Ripley, WI	$485K
Lake Riverside, CA	$549K
Lake Roberts Heights, NM	
Lake Roberts, NM	
Lake Roesiger, WA	$1,200K
Lake Ronkonkoma, NY	$568K
Lake Royale, NC	$339K
Lake San Marcos, CA	$882K
Lake Santee, IN	$490K
Lake Sarasota, FL	$340K
Lake Shangrila, WI	
Lake Sherwood, CA	$6,415K
Lake Shore, MD	$448K
Lake Shore, MN	
Lake Shore, UT	$1,108K
Lake Shore, WA	$508K
Lake St. Clair, MO	$342K
Lake St. Croix Beach, MN	
Lake St. Louis, MO	$444K
Lake Station, IN	$172K
Lake Stevens, WA	$765K
Lake Stickney, WA	$690K
Lake Success, NY	$1,750K
Lake Summerset, IL	$213K
Lake Tanglewood, TX	
Lake Tansi, TN	$290K
Lake Tapawingo, MO	$567K
Lake Tapps, WA	$850K
Lake Tekakwitha, MO	$74K
Lake Telemark, NJ	$565K
Lake Timberline, MO	$180K
Lake Tomahawk, OH	$235K
Lake Victoria, MI	$307K
Lake View, AL	$307K
Lake View, TX	
Lake Villa, IL	$370K
Lake Village, IN	$273K
Lake Wales, FL	$257K
Lake Waukomis, MO	$450K
Lake Waynoka, OH	$320K
Lake Wazeecha, WI	$258K
Lake Wilderness, VA	$458K
Lake Wildwood, CA	$488K
Lake Winnebago, MO	
Lake Winola, PA	
Lake Wisconsin, WI	$450K
Lake Wissota, WI	$283K
Lake Worth Beach, FL	$359K
Lake Worth, FL	$410K
Lake Worth, TX	$270K
Lake Wylie, SC	$492K
Lake Wynonah, PA	$251K
Lake Zurich, IL	$400K
Lakebay, WA	
Lakehead, CA	$271K
Lakehills, TX	$202K
Lakehurst, NJ	$345K
Lakeland Highlands, FL	$390K
Lakeland North, WA	$450K
Lakeland Shores, MN	
Lakeland South, WA	$658K
Lakeland Village, CA	$408K
Lakeland, FL	$300K
Lakeland, GA	$218K
Lakeland, MN	
Lakeland, NY	$201K
Lakeland, TN	$588K
Lakeline, OH	
Lakemont, PA	
Lakemoor, IL	$230K
Lakemore, OH	$176K
Lakeport, CA	$395K
Lakeport, MI	$63K
Lakeport, TX	$175K
Lakeridge, NV	$8,750K
Lakes East, CT	$800K
Lakes of the Four Seasons, IN	$370K
Lakes West, CT	$740K
Lakes, AK	$380K
Lakeshire, MO	$200K
Lakeshore, LA	$180K
Lakeside City, TX	$359K
Lakeside Park, KY	$376K
Lakeside Woods, CT	
Lakeside-Beebe Run, NJ	
Lakeside, CA	$760K
Lakeside, FL	$316K
Lakeside, IA	
Lakeside, MT	$995K
Lakeside, OH	$745K
Lakeside, OR	$349K
Lakeside, TX	$330K
Lakeside, VA	$315K
Laketon, IN	
Lakeview Estates, GA	
Lakeview, AL	
Lakeview, AR	
Lakeview, CA	
Lakeview, LA	
Lakeview, MI	$250K
Lakeview, MS	
Lakeview, NE	
Lakeview, NY	$509K
Lakeview, OH	$208K
Lakeview, WA	$355K
Lakeville, CT	$525K
Lakeville, IN	
Lakeville, MA	$520K
Lakeville, MN	$426K
Lakeville, NY	$25K
Lakeway, TX	$875K
Lakewood Club, MI	$190K
Lakewood Gardens, FL	$440K
Lakewood Park, FL	$295K
Lakewood Park, TN	$287K
Lakewood Ranch, FL	$638K
Lakewood Shores, IL	
Lakewood Village, TX	
Lakewood, CA	$820K
Lakewood, CO	$560K
Lakewood, IL	$558K
Lakewood, NJ	$410K
Lakewood, NY	$62K
Lakewood, OH	$283K
Lakewood, SC	$415K
Lakewood, TN	$395K
Lakewood, WA	$500K
Lakewood, WI	
Lakin, KS	
Lamar, PA	
Lamar, SC	
Lamar, TX	
Lambert, MO	
Lambertville, MI	$280K
Lambertville, NJ	$553K
Lambs Grove, IA	
Lamesa, TX	$180K
Lamington, NJ	
Lamoille, NV	
Lamont, CA	$200K
Lamont, FL	
Lamont, MI	$355K
Lamont, WA	
Lampasas, TX	$276K
Lampeter, PA	
Lamy, NM	$636K
Lanai City, HI	
Lanare, CA	
Lancaster, CA	$435K
Lancaster, MA	$590K
Lancaster, MO	
Lancaster, NH	
Lancaster, NY	$245K
Lancaster, OH	$175K
Lancaster, PA	$257K
Lancaster, SC	$260K
Lancaster, TX	$305K
Lancaster, WI	$118K
Land O'Lakes, FL	$400K
Landen, OH	$315K
Landers, CA	
Landess, IN	
Landing, NJ	$420K
Landingville, PA	
Landis, NC	$330K
Landisburg, PA	$143K
Landisville, PA	$335K
Landmark, AR	
Landover Hills, MD	$401K
Landover, MD	$303K
Landrum, SC	$357K
Lane, KS	
Lanesboro, IA	
Lanesboro, MN	
Lanesborough, MA	$700K
Lanesville, IN	
Lanett, AL	$179K
Langdon Place, KY	
Langdon, KS	
Langeloth, PA	$169K
Langhorne Manor, PA	
Langhorne, PA	$545K
Langley Park, MD	$450K
Langley, SC	$30K
Langley, WA	$620K
Langleyville, IL	
Langlois, OR	
Langston, AL	$279K
Langston, OK	
Lanham, MD	$500K
Lannon, WI	
Lansdale, PA	$375K
Lansdowne, MD	$275K
Lansdowne, PA	$235K
Lansdowne, VA	$712K
Lansford, PA	$115K
Lansing, IL	$176K
Lansing, KS	$332K
Lansing, MI	$125K
Lansing, MN	$135K
Lansing, NY	
Lansing, OH	$80K
Lantana, FL	$395K
Lantana, TX	$619K
Lapeer, MI	$230K
Lapeer, NY	
Lapel, IN	$200K
LaPlace, IL	
Laplace, LA	$189K
Lapoint, UT	$317K
Laporte, CO	
Lapwai, ID	$191K
Larch Way, WA	$780K
Larchmont, NY	$897K
Laredo, TX	$230K
Largo, FL	$315K
Largo, MD	$295K
Larke, PA	
Larkfield-Wikiup, CA	$919K
Larkspur, CA	$1,600K
Larkspur, CO	$1,150K
Larksville, PA	$186K
Larose, LA	$195K
Larwill, IN	
Las Campanas, NM	$1,295K
Las Cruces, NM	$285K
Las Flores, CA	$1,203K
Las Lomas, CA	
Las Lomas, TX	
Las Palmas, TX	
Las Quintas Fronterizas, TX	
Las Tusas, NM	
Las Vegas, NM	$205K
Las Vegas, NV	$398K
LaSalle, IL	$100K
Lasana, TX	
Lasara, TX	
Lasker, NC	
Latah, WA	
Latham, IL	
Latham, KS	
Latham, MO	
Latham, NY	$325K
Lathrop, CA	$660K
Lathrop, MO	$217K
Lathrup Village, MI	$280K
Latimer, MS	$280K
Laton, CA	
Latrobe, PA	$229K
Latta, OK	$195K
Lattimer, PA	
Lattimore, NC	
Lattingtown, NY	$2,113K
Lauderdale Lakes, FL	$130K
Lauderdale Lakes, WI	$1,229K
Lauderdale-by-the-Sea, FL	$680K
Lauderdale, MN	
Lauderhill, FL	$169K
Laughlin, NV	$228K
Launiupoko, HI	
Laupahoehoe, HI	$1,713K
Laura, OH	
Laurel Bay, SC	
Laurel Heights, NJ	
