County,County Population,Predominant City,State,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,UV Index,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Ware County,17140,Waycross,Georgia,1066,$31436,16%,37,$246460,2148,$114,51,54%,$674,64%,N/A,N/A,26%,3%,49%,28%,69%,0%,48%,46%,2%,0%,N/A,94,63,31,41,0,6,45,5,31.21785608381564,-82.3579594990315,64%,65%,59%,56%,59%,68,59,71,72,39,14.25,9.67,26%,37%,25%,0
Beckham County,17120,Elk City,Oklahoma,747,$39994,15%,33,$142000,1436,$99,42,63%,$747,56%,124,1754,23%,4%,50%,12%,83%,0%,5%,71%,15%,3%,N/A,94,51,43,26,5,N/A,69,5,35.353392036880834,-99.50631019840537,66%,76%,60%,53%,50%,49,46,63,69,27,8.48,2.85,16%,20%,11%,2
Willacy County,17111,Raymondville,Texas,2089,$36012,7%,34,$65000,1182,$55,44,69%,$652,57%,N/A,N/A,28%,12%,55%,67%,30%,0%,1%,7%,91%,13%,N/A,97,70,26,25,0,N/A,83,6,26.454997252989305,-97.77919533973468,59%,77%,42%,60%,56%,26,64,73,76,47,7.71,3.63,19%,17%,23%,0
Chatham County,17107,Siler City,North Carolina,1135,$45775,30%,43,$344467,1619,$202,37,57%,$875,54%,739,3241,14%,5%,52%,52%,42%,0%,16%,52%,24%,14%,Eastern Standard Time,89,51,38,48,5,6,63,4,35.72122039791898,-79.30297881374293,59%,61%,55%,53%,56%,42,46,65,69,30,13.55,10.69,26%,28%,26%,2
Hutchinson County,17107,Borger,Texas,1371,$54106,16%,36,$119760,1550,$77,52,79%,$816,52%,N/A,N/A,13%,7%,60%,10%,86%,0%,2%,69%,23%,5%,N/A,95,52,42,20,14,N/A,69,5,35.6710586293564,-101.4404979498451,72%,78%,67%,44%,44%,48,38,57,68,26,8.74,1.96,17%,25%,10%,4
Plymouth County,17069,Le Mars,Iowa,1189,$65887,21%,40,N/A,N/A,N/A,50,76%,$726,41%,239,1657,7%,2%,68%,21%,73%,0%,2%,89%,6%,4%,Central Standard Time,85,27,57,32,34,N/A,86,3,42.76211915037787,-96.18189451944461,60%,71%,54%,60%,59%,42,37,61,62,8,12.58,3.39,22%,26%,16%,13
Bristol County,17059,Bristol,Virginia,1325,$39679,21%,42,N/A,N/A,N/A,53,57%,$712,52%,320,2390,22%,6%,58%,26%,69%,0%,7%,87%,0%,0%,Eastern Standard Time,85,45,40,50,10,6,64,4,36.6180379,-82.1605389,59%,59%,57%,55%,59%,40,45,63,62,25,14.31,12.27,38%,40%,43%,11
DeSoto County,17046,Southeast Arcadia,Florida,1525,$31429,9%,32,$242204,1451,$167,39,57%,$753,61%,664,1281,30%,10%,60%,34%,62%,0%,11%,37%,50%,21%,N/A,92,73,19,52,0,7,61,6,27.203165214484336,-81.85515997805352,69%,67%,65%,55%,60%,82,62,72,72,47,27.02,5.7,30%,53%,18%,0
Randolph County,16970,Moberly,Missouri,1010,$40252,17%,36,$119140,1290,$93,57,63%,$673,60%,N/A,N/A,19%,4%,51%,21%,72%,0%,8%,84%,2%,1%,N/A,87,37,49,44,16,N/A,71,4,39.41573969823217,-92.45040992013553,57%,68%,48%,60%,59%,52,43,64,68,18,14.6,6.07,28%,29%,23%,6
Carbon County,16954,Price,Utah,1101,$47844,17%,37,$313882,2431,$124,53,74%,$687,45%,N/A,N/A,16%,5%,56%,21%,65%,0%,1%,82%,13%,2%,N/A,90,35,55,11,211,8,87,4,39.60967432963313,-110.77935899206086,66%,82%,48%,42%,22%,38,32,43,60,14,2.97,2.23,14%,15%,14%,53
Routt County,16948,Steamboat Springs,Colorado,1277,$73338,48%,38,$1247627,2023,$598,32,70%,$1339,50%,136,1315,9%,4%,71%,54%,37%,1%,1%,84%,9%,6%,N/A,83,29,53,23,120,7,93,5,40.45708153527261,-106.89088200413619,69%,72%,68%,41%,33%,39,29,46,47,4,4.5,6.16,36%,18%,53%,55
Sullivan County,16942,Monticello,New York,919,$49227,25%,38,N/A,N/A,N/A,56,48%,$929,59%,N/A,N/A,20%,7%,55%,42%,53%,1%,15%,54%,23%,10%,N/A,80,32,47,53,51,7,83,3,41.6835007007024,-74.68003106760125,49%,61%,41%,57%,54%,27,38,58,58,13,16.24,12.41,36%,39%,34%,20
Duplin County,16937,Wallace,North Carolina,1032,$36896,13%,38,N/A,N/A,N/A,42,60%,$564,54%,233,1052,16%,7%,57%,39%,58%,0%,30%,41%,23%,17%,N/A,90,54,36,55,1,6,74,4,34.897216163417376,-77.99403143899745,59%,61%,55%,53%,56%,42,47,66,69,31,17.9,10.78,30%,35%,31%,0
Sampson County,16930,Clinton,North Carolina,769,$39263,17%,40,N/A,N/A,N/A,45,55%,$665,57%,N/A,N/A,29%,5%,53%,40%,57%,1%,28%,49%,17%,9%,N/A,90,54,36,51,1,6,72,4,35.015538448245714,-78.38181502033078,59%,61%,55%,53%,56%,42,47,66,70,32,15.35,10.25,31%,35%,31%,0
Sumter County,16927,Americus,Georgia,1277,$34674,19%,30,$123000,2278,$54,46,42%,$717,66%,840,5526,26%,8%,61%,50%,48%,2%,63%,31%,1%,3%,N/A,90,58,32,53,0,6,48,3,32.067740038819636,-84.2258113905772,63%,67%,56%,53%,54%,53,53,69,68,36,14.86,16.58,31%,39%,35%,0
Atchison County,16896,Atchison,Kansas,967,$47780,23%,34,$260000,2222,$117,60,71%,$664,52%,390,2664,16%,5%,61%,30%,61%,0%,3%,86%,3%,1%,N/A,88,38,50,36,17,8,58,4,39.550496393785515,-95.20814739675075,60%,69%,54%,59%,58%,52,42,64,67,16,13.45,3.55,24%,28%,17%,7
Monroe County,16837,Amory,Mississippi,493,$42327,15%,41,N/A,N/A,N/A,46,70%,$640,52%,N/A,N/A,16%,9%,53%,34%,64%,0%,39%,55%,2%,1%,N/A,90,53,37,57,0,6,49,5,33.93942402468373,-88.51573333369365,58%,64%,49%,57%,56%,57,51,68,70,31,12.55,17.43,32%,32%,37%,0
Glenn County,16753,Orland,California,2871,$47962,11%,33,N/A,N/A,N/A,42,53%,$841,45%,429,1745,17%,5%,60%,32%,61%,4%,0%,39%,52%,24%,N/A,94,57,36,19,47,6,23,5,39.658941875944606,-122.16878714928072,77%,96%,51%,38%,20%,4,46,52,63,37,0.38,10.39,15%,1%,31%,9
Aroostook County,16731,Presque Isle,Maine,109,$42913,21%,47,N/A,N/A,N/A,60,71%,$635,47%,187,2131,14%,3%,56%,38%,55%,0%,0%,94%,1%,3%,N/A,79,23,55,43,123,7,93,2,46.768870797471756,-67.98947267294245,N/A%,N/A%,N/A%,61%,58%,N/A,31,53,57,5,12.37,9.74,44%,45%,47%,60
Texas County,16722,Guymon,Oklahoma,1451,$48621,25%,29,$176000,1375,$128,48,66%,$771,49%,245,1207,27%,2%,70%,14%,79%,4%,4%,36%,51%,29%,N/A,94,49,45,17,14,N/A,71,5,36.70449187734123,-101.4487930328908,71%,78%,66%,42%,40%,48,33,52,66,22,7.45,1.84,18%,27%,11%,3
Blaine County,16694,Hailey,Idaho,1555,$59461,37%,41,$1480137,2287,$511,33,70%,$998,43%,266,430,13%,2%,70%,59%,31%,0%,0%,72%,25%,16%,N/A,85,32,53,17,25,7,93,4,43.53741403459926,-114.28218057040854,62%,80%,39%,42%,23%,16,32,41,52,13,2.33,5.9,22%,13%,29%,17
Effingham County,16676,Rincon,Georgia,1067,$59639,24%,31,$298603,1877,$159,22,63%,$1044,51%,N/A,N/A,8%,7%,67%,20%,76%,0%,23%,66%,6%,3%,Eastern Standard Time,93,61,31,49,0,6,62,5,32.31738817826217,-81.27488544312784,59%,59%,55%,54%,57%,60,55,70,73,39,17.6,10.66,28%,38%,27%,0
Vance County,16587,Henderson,North Carolina,1648,$31468,17%,36,$218338,2112,$103,51,40%,$670,69%,1626,5563,30%,9%,54%,61%,36%,0%,61%,26%,9%,5%,N/A,89,50,39,51,4,6,51,4,36.32465854061614,-78.41335779333214,59%,61%,55%,53%,56%,42,47,66,67,26,14.24,11.13,31%,33%,34%,1
Mercer County,16580,Mercer,Illinois,866,$49736,15%,44,$91236,1539,$60,64,69%,$647,42%,0,1131,12%,5%,57%,36%,56%,0%,0%,89%,2%,1%,Central Standard Time,85,31,53,40,35,8,82,3,41.1970097728468,-90.72934898592887,53%,63%,46%,59%,57%,46,39,62,64,13,13.85,5.66,28%,30%,24%,17
Columbia County,16525,Lake City,Florida,946,$38424,18%,38,$326239,2029,$163,34,46%,$824,60%,1326,6432,19%,10%,54%,26%,70%,1%,32%,57%,5%,4%,N/A,90,65,25,54,0,6,51,5,30.180575204078668,-82.64343039494703,64%,65%,59%,56%,61%,68,59,71,71,41,22.99,10.04,28%,43%,27%,0
Putnam County,16511,Ottawa,Ohio,960,$56545,21%,39,N/A,N/A,N/A,55,78%,$728,43%,N/A,N/A,10%,3%,66%,15%,79%,0%,1%,85%,11%,2%,N/A,84,33,50,40,19,7,79,3,41.01664550142329,-84.09251612504391,60%,75%,47%,61%,55%,36,40,60,63,18,12.23,7.82,31%,28%,32%,10
Buena Vista County,16478,Storm Lake,Iowa,1889,$50591,17%,33,$121019,790,$166,56,65%,$694,49%,393,1620,11%,7%,70%,34%,59%,12%,2%,51%,29%,24%,N/A,83,26,56,33,41,N/A,87,3,42.669726720500066,-95.18432726849738,60%,71%,54%,60%,59%,42,37,61,63,9,12.89,3.4,26%,29%,21%,23
Hill County,16474,Hillsboro,Texas,864,$45666,14%,36,N/A,N/A,N/A,48,59%,$767,53%,200,3091,15%,6%,59%,19%,77%,0%,12%,53%,30%,11%,N/A,97,58,39,39,0,6,55,5,31.995068035729027,-97.10997472868762,61%,71%,56%,56%,50%,43,52,67,74,34,8.04,7.66,22%,16%,24%,0
Cape Girardeau County,16464,Jackson,Missouri,1319,$62468,32%,34,$219446,1958,$112,32,72%,$873,46%,N/A,N/A,9%,5%,67%,22%,72%,0%,1%,92%,2%,0%,Central Standard Time,90,42,48,53,9,6,65,4,37.37256440771987,-89.65798739070091,64%,77%,54%,58%,57%,46,44,65,68,24,12.74,11.6,25%,25%,24%,4
Boone County,16426,Harrison,Arkansas,1025,$40911,18%,40,$178568,1752,$101,41,64%,$611,52%,381,2670,16%,5%,58%,18%,75%,1%,0%,92%,2%,1%,N/A,88,47,41,47,8,7,59,4,36.261939769925725,-93.0975328115792,58%,69%,50%,58%,57%,54,44,64,67,27,11.85,8.01,29%,29%,25%,2
Barron County,16424,Rice Lake,Wisconsin,934,$37804,21%,44,N/A,N/A,N/A,45,50%,$483,53%,230,1978,10%,3%,71%,34%,60%,1%,14%,93%,3%,3%,N/A,82,21,60,31,55,8,81,3,45.471909156344374,-91.76440788923527,50%,60%,45%,63%,60%,39,33,57,60,2,12.68,3.29,31%,37%,25%,24
Jackson County,16360,Marianna,Florida,410,$31314,10%,36,N/A,N/A,N/A,46,59%,$697,61%,739,2357,27%,6%,47%,30%,67%,0%,36%,55%,4%,2%,N/A,93,63,29,54,0,5,51,5,30.81639233151589,-85.22100029327017,59%,60%,51%,54%,59%,82,57,71,72,40,16.59,15.83,30%,40%,33%,0
Carroll County,16360,Carroll,Iowa,1319,$52993,23%,41,$188040,1340,$139,55,78%,$610,47%,92,1790,7%,2%,67%,31%,63%,0%,0%,93%,2%,2%,N/A,85,28,57,36,33,N/A,83,3,42.03699138846577,-94.87334603053178,58%,71%,49%,59%,57%,48,38,61,64,11,14.34,3.64,28%,33%,22%,15
Washington County,16162,Bogalusa,Louisiana,1098,$31321,14%,40,$131171,1669,$81,51,58%,$654,61%,1236,4398,28%,8%,53%,30%,67%,0%,46%,48%,2%,0%,N/A,91,60,31,62,1,8,54,6,30.80360762076476,-89.92625952753372,58%,62%,51%,62%,64%,67,59,73,70,38,18.54,17.01,28%,39%,31%,0
Garvin County,16149,Pauls Valley,Oklahoma,999,$40800,14%,38,$215000,1453,$148,51,56%,$665,52%,461,3501,20%,3%,51%,17%,78%,0%,3%,72%,11%,3%,N/A,94,52,41,38,5,N/A,60,5,34.75301790198774,-97.29611214532171,66%,76%,60%,55%,53%,49,46,64,70,28,10.84,5.24,19%,19%,16%,2
Iroquois County,16138,Watseka,Illinois,1242,$50616,12%,43,$178000,1798,$99,57,71%,$714,51%,N/A,N/A,12%,5%,61%,19%,74%,0%,0%,86%,9%,4%,N/A,84,33,51,42,25,N/A,80,3,40.789554228243894,-87.83807478746436,52%,65%,39%,60%,56%,38,39,59,63,16,13.53,7.24,31%,30%,31%,17
Stoddard County,16124,Dexter,Missouri,1313,$39635,11%,41,N/A,N/A,N/A,48,63%,$629,51%,299,1570,22%,5%,50%,14%,83%,0%,1%,95%,1%,0%,N/A,91,45,45,54,7,6,55,5,36.83914200372115,-89.95988277022451,64%,77%,54%,58%,57%,51,47,66,70,26,12.03,12.02,33%,33%,31%,1
Logan County,16066,Sterling,Colorado,1835,$41488,18%,37,$220535,1411,$162,59,64%,$806,57%,788,3403,12%,6%,62%,19%,74%,0%,2%,69%,21%,4%,N/A,89,39,50,16,39,8,82,4,40.63384902563177,-103.1707235585709,64%,67%,60%,46%,39%,43,32,52,59,14,7.05,1.13,22%,29%,14%,19
Pike County,16054,Washington township (Pike Cnty),Indiana,1010,$45718,12%,44,$136589,1206,$113,48,72%,$594,42%,N/A,N/A,15%,3%,58%,21%,73%,1%,2%,96%,1%,0%,N/A,87,40,46,52,9,6,73,4,38.43022200444749,-87.23984712540177,58%,72%,46%,58%,56%,42,45,65,66,23,12.9,10.94,33%,31%,36%,4
West Baton Rouge County,16023,Addis,Louisiana,1252,$66562,21%,34,$262078,1674,$156,34,66%,$926,53%,235,294,19%,11%,67%,42%,54%,0%,45%,50%,2%,0%,Central Standard Time,91,61,30,63,0,6,39,5,30.42543588312426,-91.26792228542719,58%,62%,51%,59%,61%,72,57,71,73,40,19.46,16.32,31%,40%,33%,0
Plaquemines County,16000,Belle Chasse,Louisiana,916,$68988,19%,39,$370000,2033,$182,28,79%,$1220,45%,N/A,N/A,18%,3%,62%,31%,65%,5%,17%,66%,3%,5%,Central Standard Time,90,62,28,60,0,8,67,5,29.701105117556253,-89.8612503227125,58%,62%,51%,62%,64%,67,59,73,76,45,20.39,13.96,29%,44%,28%,0
Polk County,15992,Cedartown,Georgia,1045,$35798,14%,33,$215996,1446,$148,46,43%,$709,59%,N/A,N/A,33%,5%,61%,20%,77%,0%,21%,50%,24%,11%,N/A,92,53,39,51,2,8,59,5,34.02128982217984,-85.17375825239495,60%,63%,53%,55%,57%,49,49,66,70,33,11.77,15.78,25%,27%,30%,0
Logan County,15961,Guthrie,Oklahoma,600,$48355,22%,38,$229356,1738,$131,51,70%,$762,62%,169,1904,19%,4%,52%,22%,71%,0%,16%,71%,5%,1%,Central Standard Time,93,49,43,36,7,N/A,55,5,35.84659017178122,-97.44576238542072,66%,76%,60%,55%,53%,49,46,64,71,29,11.67,4.34,21%,24%,14%,3
Pulaski County,15955,Pulaski,Virginia,1090,$52922,17%,43,$182982,1498,$118,55,59%,$782,51%,327,2756,18%,5%,54%,27%,68%,0%,7%,85%,2%,1%,Eastern Standard Time,83,42,40,42,15,6,76,4,37.07671183567534,-80.70380300022563,59%,64%,54%,51%,54%,33,43,62,61,23,12.01,9.18,33%,38%,30%,5
Nelson County,15938,Bardstown,Kentucky,1031,$51321,18%,35,$205166,1369,$150,38,62%,$770,51%,99,2317,12%,3%,61%,30%,64%,0%,10%,82%,4%,1%,N/A,87,44,43,53,14,7,52,4,37.819692034364415,-85.444605437809,55%,65%,46%,56%,55%,45,45,65,65,25,13.14,12.87,35%,34%,40%,12
Uinta County,15924,Evanston,Wyoming,1073,$67007,16%,36,N/A,N/A,N/A,36,78%,$706,40%,249,1574,11%,5%,67%,14%,72%,0%,0%,85%,10%,3%,N/A,82,32,49,9,43,8,89,4,41.27713284512686,-110.83720143831952,66%,83%,47%,43%,23%,39,33,44,49,11,2.18,1.37,22%,17%,22%,15
Clinton County,15906,Cameron,Missouri,1114,$58179,15%,38,$214769,1749,$123,45,64%,$813,56%,N/A,N/A,10%,2%,46%,25%,68%,0%,8%,84%,2%,1%,Central Standard Time,87,36,51,40,14,8,74,4,39.66775737556269,-94.32621235590973,62%,70%,55%,60%,59%,51,42,64,67,15,14.6,4.34,23%,26%,16%,6
Dakota County,15894,South Sioux City,Nebraska,1889,$59649,13%,32,N/A,N/A,N/A,50,68%,$821,46%,N/A,N/A,13%,4%,76%,36%,57%,3%,7%,41%,43%,28%,Central Standard Time,86,30,56,31,38,N/A,74,3,42.45195895254813,-96.41954669117277,60%,71%,54%,60%,59%,42,37,61,63,9,12.76,2.96,28%,33%,23%,22
Highland County,15851,Hillsboro,Ohio,1405,$38677,14%,40,N/A,N/A,N/A,53,55%,$663,54%,N/A,N/A,26%,6%,53%,20%,75%,0%,2%,93%,1%,0%,N/A,85,38,46,49,25,8,73,3,39.25752764588354,-83.55868774971296,50%,62%,39%,58%,55%,38,41,61,62,20,13.89,10.85,40%,38%,44%,22
Edgecombe County,15848,Tarboro,North Carolina,1032,$39022,19%,44,$182000,1701,$107,42,56%,$697,59%,N/A,N/A,23%,5%,51%,65%,33%,0%,58%,34%,4%,2%,Eastern Standard Time,89,51,38,49,4,6,70,4,35.89411400055528,-77.56379749372793,59%,61%,55%,53%,56%,42,47,66,69,30,15.11,9.98,26%,29%,27%,1
Bryan County,15815,Richmond Hill,Georgia,526,$68609,34%,32,$280215,1594,$180,23,53%,$1454,48%,N/A,N/A,14%,6%,71%,26%,69%,2%,18%,65%,9%,5%,Eastern Standard Time,93,61,31,50,0,6,53,5,31.940865872715776,-81.36220148814418,59%,59%,55%,54%,57%,60,55,70,73,39,18.44,10.81,32%,46%,31%,0
Poinsett County,15793,Trumann,Arkansas,1014,$37827,13%,38,$175000,1458,$120,45,58%,$639,49%,640,3273,23%,3%,51%,24%,71%,0%,5%,83%,3%,0%,Central Standard Time,90,47,43,53,3,8,61,4,35.612631715088966,-90.54059973718101,63%,74%,52%,56%,56%,53,50,68,70,28,10.62,13.3,30%,27%,31%,0
Lancaster County,15764,Lancaster,South Carolina,1072,$34414,13%,42,$240467,1562,$153,49,53%,$699,57%,372,4714,26%,15%,55%,35%,60%,0%,43%,48%,6%,3%,Eastern Standard Time,91,55,36,45,3,6,57,5,34.68748404831896,-80.74704823298019,64%,67%,57%,51%,54%,40,47,66,70,32,13.24,11.17,29%,30%,32%,0
DeKalb County,15741,Grand River township (DeKalb Cnty),Missouri,715,$41332,16%,37,$248660,2263,$116,42,61%,$632,51%,N/A,N/A,12%,3%,64%,17%,76%,0%,0%,93%,3%,0%,Central Standard Time,87,35,52,39,16,8,78,4,39.83509544228448,-94.37273451819453,62%,70%,55%,60%,59%,51,42,64,66,15,14.69,4.01,22%,26%,15%,7
Laclede County,15724,Lebanon,Missouri,962,$41037,15%,34,$189326,1655,$114,39,54%,$664,49%,N/A,N/A,20%,7%,60%,15%,79%,0%,1%,88%,4%,1%,N/A,89,43,46,47,11,N/A,55,4,37.66210432654542,-92.66903774680107,58%,69%,50%,58%,57%,54,44,64,67,23,12.99,8.25,25%,26%,20%,7
Saline County,15530,Harrisburg,Illinois,1345,$37173,16%,39,N/A,N/A,N/A,60,71%,$633,54%,177,2613,23%,8%,52%,22%,72%,0%,3%,88%,2%,0%,N/A,89,43,46,53,9,6,69,4,37.758146123998706,-88.53346115326465,62%,75%,51%,58%,56%,42,45,65,69,23,12.53,12.41,31%,28%,32%,4
Mahaska County,15501,Oskaloosa,Iowa,1362,$50495,20%,36,$141630,1263,$113,60,65%,$682,49%,473,1787,17%,4%,64%,24%,69%,1%,2%,90%,3%,2%,N/A,86,31,55,42,22,N/A,75,4,41.303872910360624,-92.62781293296561,58%,71%,49%,60%,58%,48,39,61,65,12,15.63,6.74,32%,37%,26%,11
Wood County,15490,Mineola,Texas,663,$48521,21%,41,N/A,N/A,N/A,41,67%,$907,51%,220,508,15%,5%,51%,14%,83%,0%,9%,75%,12%,5%,N/A,93,56,37,48,0,7,56,5,32.75180459699161,-95.3665146913428,60%,70%,54%,55%,51%,55,53,69,71,33,9.64,12.09,21%,18%,24%,0
Tillamook County,15416,Tillamook,Oregon,1538,$54205,22%,47,N/A,N/A,N/A,45,61%,$1021,48%,424,1696,10%,4%,51%,41%,47%,0%,0%,84%,10%,6%,N/A,69,50,18,91,1,7,90,2,45.500096811306435,-123.8880560592696,50%,67%,30%,71%,67%,6,44,51,51,35,4.68,37.23,47%,23%,62%,0
Evangeline County,15394,Ville Platte,Louisiana,1648,$23786,6%,33,N/A,N/A,N/A,46,48%,$560,65%,N/A,N/A,40%,19%,50%,28%,69%,0%,48%,43%,3%,3%,N/A,93,60,33,59,0,7,62,6,30.66228313831363,-92.37630052118357,67%,81%,48%,62%,62%,75,59,73,72,38,16.35,16.24,26%,31%,28%,0
Franklin County,15382,Rocky Mount,Virginia,353,$62103,30%,49,$477032,2176,$210,38,79%,$794,46%,421,5649,14%,7%,48%,26%,68%,0%,12%,82%,3%,3%,Eastern Standard Time,87,47,40,48,11,6,70,4,37.020968265726175,-79.8004309240086,59%,64%,54%,51%,54%,33,43,62,65,26,12.95,10.69,35%,37%,34%,2
Calhoun County,15320,Port Lavaca,Texas,1095,$53671,15%,37,$158180,1063,$151,45,72%,$705,49%,N/A,N/A,10%,3%,61%,30%,66%,7%,2%,32%,56%,16%,N/A,93,64,29,39,0,7,82,6,28.586040059288514,-96.61902595192558,59%,75%,46%,59%,57%,50,60,72,78,45,12.06,7.02,24%,24%,26%,0
Marshall County,15226,Lewisburg,Tennessee,767,$45797,14%,35,$273100,1507,$180,42,60%,$799,53%,311,704,22%,9%,58%,24%,71%,0%,9%,75%,10%,4%,N/A,90,48,41,56,3,7,60,4,35.45943700719821,-86.78786251364771,55%,60%,46%,57%,57%,56,49,67,65,26,13.77,15.33,34%,35%,37%,2
Bonner County,15188,Sandpoint,Idaho,1465,$48539,27%,43,$488724,1575,$316,37,61%,$887,50%,201,2252,14%,3%,58%,27%,63%,0%,0%,90%,4%,3%,N/A,84,32,51,37,74,8,68,3,48.25873078803661,-116.58715164436397,52%,73%,28%,52%,30%,10,34,43,51,21,4.43,12.42,42%,21%,55%,35
Coffee County,15147,Douglas,Georgia,971,$30381,11%,32,N/A,N/A,N/A,38,47%,$642,67%,N/A,N/A,31%,5%,43%,29%,68%,0%,48%,40%,9%,7%,N/A,92,61,31,47,0,6,53,5,31.51062803438305,-82.80979809694989,62%,65%,55%,52%,54%,54,53,69,71,37,15.82,12.59,26%,37%,25%,0
Williamsburg County,15034,Williamsburg,Virginia,1682,$59288,50%,26,$395000,2005,$197,37,49%,$1153,74%,147,1316,15%,5%,50%,68%,25%,6%,15%,67%,7%,8%,Eastern Standard Time,89,49,40,52,10,7,65,4,37.2691738,-76.7076024,61%,65%,57%,57%,59%,34,48,66,70,30,15.78,10.48,34%,37%,34%,5
Summit County,15018,Breckenridge,Colorado,1039,$81328,52%,41,$1060458,1430,$770,31,54%,$1414,56%,226,2750,7%,2%,77%,59%,31%,0%,0%,83%,10%,8%,N/A,75,29,45,18,151,8,95,5,39.577443919922764,-106.0643795869623,69%,71%,70%,43%,36%,41,29,47,39,1,5.3,4.35,36%,36%,42%,67
Smyth County,15017,Marion,Virginia,711,$37882,15%,43,N/A,N/A,N/A,52,61%,$624,51%,272,2661,23%,5%,48%,20%,75%,0%,4%,90%,3%,2%,N/A,83,43,39,48,27,7,82,4,36.82930653733102,-81.58181903422123,59%,59%,57%,60%,61%,40,45,63,61,22,14.74,11.2,40%,43%,43%,14
Tuscola County,14998,Caro,Michigan,1033,$45733,14%,44,N/A,N/A,N/A,58,71%,$675,54%,186,1450,16%,8%,56%,28%,66%,0%,1%,93%,4%,0%,N/A,82,30,52,34,55,8,83,3,43.4560731440392,-83.42101557539004,51%,66%,39%,61%,55%,32,38,58,59,14,10.52,6.25,35%,32%,41%,41
La Paz County,14990,Quartzsite,Arizona,126,$36612,12%,59,N/A,N/A,N/A,32,73%,$738,40%,N/A,N/A,18%,4%,35%,26%,67%,1%,1%,67%,24%,9%,N/A,108,65,43,4,0,6,69,6,33.845595798659105,-114.11858896130754,85%,89%,80%,23%,19%,9,40,54,82,39,1.26,1.8,4%,5%,6%,0
Campbell County,14962,La Follette,Tennessee,928,$37675,9%,42,$191091,1336,$142,45,50%,$593,54%,505,4173,26%,17%,52%,17%,78%,0%,0%,94%,1%,0%,Eastern Standard Time,85,44,41,58,3,6,65,4,36.38331049943857,-84.14937946104799,57%,66%,44%,57%,58%,46,48,66,63,25,14.85,16.26,36%,38%,41%,1
Tioga County,14928,Wellsboro,Pennsylvania,952,$46330,25%,40,$200000,1227,$163,67,64%,$694,49%,N/A,N/A,14%,4%,59%,21%,73%,0%,1%,94%,2%,1%,N/A,81,32,49,39,49,6,83,3,41.8232696823955,-77.21374701980172,47%,61%,36%,56%,55%,33,40,61,57,15,11.31,8.18,40%,39%,43%,28
Andrews County,14906,Andrews,Texas,1887,$69669,15%,32,$215000,1536,$140,46,69%,$1097,44%,417,1549,13%,4%,68%,16%,79%,0%,2%,35%,60%,14%,N/A,94,57,37,16,4,N/A,61,5,32.318945485448815,-102.55047549999999,72%,80%,66%,45%,46%,37,42,58,64,27,5.46,1.75,12%,16%,9%,0
Webster County,14866,Marshfield,Missouri,1093,$40822,17%,32,$208254,1564,$130,35,55%,$669,47%,N/A,N/A,15%,4%,63%,19%,76%,0%,0%,90%,3%,1%,Central Standard Time,88,43,44,49,11,7,65,4,37.24322179726894,-92.93174376868694,58%,69%,50%,58%,57%,54,44,64,66,21,13.37,8.23,31%,33%,25%,7
Warren County,14859,McMinnville,Tennessee,1170,$36259,15%,40,$212737,1233,$172,50,52%,$626,59%,949,3490,30%,4%,50%,26%,70%,0%,3%,80%,11%,7%,N/A,89,51,38,55,4,5,67,4,35.68198295305875,-85.79102071800926,55%,60%,46%,55%,56%,55,48,67,68,31,13.14,15.82,36%,36%,41%,2
Caldwell County,14841,Lockhart,Texas,856,$59696,16%,40,$323000,1631,$198,40,65%,$986,47%,N/A,N/A,12%,1%,53%,39%,54%,2%,5%,38%,53%,7%,Central Standard Time,98,62,36,31,0,6,66,6,29.876048808429356,-97.69419702993734,58%,69%,52%,55%,51%,41,55,68,74,38,6.48,6.6,11%,10%,10%,0
Toombs County,14813,Vidalia,Georgia,570,$39345,15%,39,$272000,2495,$109,44,50%,$556,52%,N/A,N/A,23%,7%,52%,25%,72%,1%,37%,51%,7%,3%,N/A,92,60,32,49,0,6,56,5,32.21025672090732,-82.3779310837845,59%,59%,55%,54%,57%,60,55,70,73,39,16.37,12.46,20%,24%,21%,0
Sibley County,14812,Arlington,Minnesota,903,$59305,14%,37,N/A,N/A,N/A,53,75%,$737,43%,114,662,8%,2%,69%,25%,66%,0%,0%,81%,12%,7%,Central Standard Time,83,22,61,33,52,8,84,3,44.58976594643532,-94.13635317156358,56%,63%,56%,64%,60%,39,34,58,63,6,13.28,3.27,24%,29%,17%,15
